-70.000000,27923.399947,72234.219454,20138.507802
-75.000000,41808.848138,80370.321005,27502.155803
-80.000000,65563.048640,85618.531582,37130.263768
-85.000000,96446.080919,89545.170598,46433.801047
-90.000000,111538.614799,89308.891660,49596.782358
-95.000000,109751.801079,89715.431263,49363.647603
-100.000000,104573.950195,89254.334782,48154.366951
-105.000000,100521.267862,88331.792545,47016.573414
-110.000000,96762.571229,86945.065543,45795.745051
-115.000000,99664.477436,86913.614340,46426.672461
-120.000000,91727.515414,90925.244632,45662.309052
-125.000000,89483.348038,78751.299811,41887.506881
-130.000000,87068.693585,88975.864566,44005.974224
-135.000000,83279.024260,84350.896736,41905.766786
